,"On a scale from 1 to 10 (1 – Low, 10 – High), how would you rate the attractiveness of the organisation as an employer?",rating_category,institution,perception
367,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
368,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
369,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
370,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
371,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
372,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
373,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
374,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
375,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
376,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
377,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
378,8.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
379,7.0,Medium (5-7),S. P. Jain School of Global Management (SPJ),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
381,7.0,Medium (5-7),Others,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
382,9.0,High (8-10),Others,"I recognise the organisation by name, but don’t have a clear impression of them"
384,5.0,Medium (5-7),Nanyang Technological University (NTU),I’m not familiar enough with the organisation to form a solid opinion
385,4.0,Low (1-4),James Cook University Singapore (JCU),I’m not familiar enough with the organisation to form a solid opinion
386,6.0,Medium (5-7),Kaplan Singapore,"I recognise the organisation by name, but don’t have a clear impression of them"
387,2.0,Low (1-4),Yale-NUS College,"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
388,9.0,High (8-10),Singapore University of Technology and Design (SUTD),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
389,10.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
392,9.0,High (8-10),Singapore Institute of Technology (SIT),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
393,3.0,Low (1-4),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
394,6.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
395,7.0,Medium (5-7),Singapore Institute of Technology (SIT),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
396,8.0,High (8-10),Singapore Management University (SMU),I’m familiar with the organisation and would consider them as a potential employer
397,7.0,Medium (5-7),Singapore Institute of Technology (SIT),I’m not familiar enough with the organisation to form a solid opinion
398,10.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
399,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
400,10.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
401,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
402,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
403,10.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
404,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
405,10.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
406,9.0,High (8-10),Nanyang Technological University (NTU),I’m familiar with the organisation and would consider them as a potential employer
407,9.0,High (8-10),Nanyang Technological University (NTU),"I have a general positive impression of the organisation, but don’t know much about what jobs they offer"
408,8.0,High (8-10),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
409,7.0,Medium (5-7),Nanyang Technological University (NTU),"I recognise the organisation by name, but don’t have a clear impression of them"
